TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.49809803921568624,0.4922527584747517,0.0,0.004472135954999575,0.474+/-0.035,0.519+/-0.023,0.521+/-0.017,0.555+/-0.056,
CHEMBL1066254,0.49809803921568624,0.4823208717887617,0.0,0.004472135954999575,0.581+/-0.045,0.585+/-0.037,0.606+/-0.06,0.704+/-0.111,
CHEMBL1119333,0.5035764705882353,0.498240458289008,0.0,0.005331487569881841,0.691+/-0.025,0.719+/-0.041,0.726+/-0.039,0.735+/-0.024,0.714+/-0.034
CHEMBL1243967,0.5059607843137255,0.5,0.0,0.008885812616469735,0.726+/-0.06,0.741+/-0.015,0.732+/-0.013,0.754+/-0.043,
CHEMBL1243970,0.5059607843137255,0.5,0.0,0.008885812616469735,0.722+/-0.024,0.707+/-0.032,0.72+/-0.028,0.698+/-0.025,
CHEMBL1613777,0.4996549019607842,0.49244683822904,0.0,0.005331487569881841,0.5+/-0.013,0.508+/-0.017,0.518+/-0.014,0.515+/-0.015,0.535+/-0.006
CHEMBL1613800,0.3982352941176471,0.39689776888961076,0.0,0.0074535599249993005,0.397+/-0.006,0.4+/-0.01,0.401+/-0.008,0.397+/-0.007,0.411+/-0.011
CHEMBL1613898,0.5044705882352941,0.4938275390663997,0.0,0.0066643594623523005,0.551+/-0.01,0.556+/-0.013,0.562+/-0.025,0.567+/-0.054,
CHEMBL1613907,0.49809803921568624,0.48655235373501615,0.0,0.004472135954999575,0.509+/-0.023,0.517+/-0.021,0.561+/-0.062,0.481+/-0.106,
CHEMBL1613926,0.5044705882352941,0.4781182813614985,0.0,0.0066643594623523005,0.562+/-0.061,0.505+/-0.049,0.715+/-0.055,0.791+/-0.213,
CHEMBL1613949,0.3473529411764706,0.34002478226331984,0.0,0.0,0.488+/-0.03,0.47+/-0.043,0.467+/-0.075,0.395+/-0.082,
CHEMBL1614027,0.5035764705882353,0.49913527524857193,0.0,0.005331487569881841,0.514+/-0.002,0.523+/-0.017,0.536+/-0.02,0.54+/-0.032,0.572+/-0.036
CHEMBL1614153,0.3396470588235294,0.3348484157792916,0.0,0.0,0.339+/-0.007,0.337+/-0.007,0.335+/-0.009,0.36+/-0.01,0.366+/-0.006
CHEMBL1614292,0.36376470588235293,0.3499394881765983,0.0,0.0074535599249993005,0.354+/-0.014,0.345+/-0.007,0.348+/-0.009,0.349+/-0.012,0.346+/-0.012
CHEMBL1614423,0.37847058823529406,0.3802097121050365,0.0,0.0074535599249993005,0.42+/-0.061,0.45+/-0.075,0.513+/-0.045,0.623+/-0.046,0.667+/-0.019
CHEMBL1614433,0.42721568627450984,0.4235015157725389,0.0,0.0,0.451+/-0.036,0.466+/-0.037,0.475+/-0.029,0.48+/-0.033,0.513+/-0.056
CHEMBL1614466,0.41725490196078435,0.4188410827123583,0.0,0.0,0.468+/-0.018,0.485+/-0.026,0.488+/-0.023,0.487+/-0.028,0.503+/-0.014
CHEMBL1614503,0.32019607843137254,0.3187259649622561,0.0,0.0,0.367+/-0.027,0.355+/-0.045,0.395+/-0.037,0.58+/-0.198,
CHEMBL1614508,0.45946078431372545,0.4669557051946646,0.0,0.0,0.678+/-0.041,0.7+/-0.106,0.761+/-0.088,0.85+/-0.072,
